target_id, strand, e_value, length
ENST00000622317.5,-,4.5e-19,1078
ENST00000553160.1,+,4.6e-19,522
ENST00000317370.12,+,4.6e-19,3426
ENST00000482587.5,+,4.6e-19,7067
ENST00000377038.7,-,4.7e-19,6032
ENST00000581641.1,-,4.7e-19,1119
ENST00000590320.3,+,4.8e-19,3584
ENST00000646641.1,+,4.9e-19,3643
ENST00000446587.2,-,4.9e-19,1177
ENST00000521561.1,+,5e-19,570
ENST00000530911.1,+,5.1e-19,661
ENST00000367612.7,+,5.1e-19,7905
ENST00000234831.9,+,5.2e-19,6691
ENST00000273480.3,+,5.2e-19,2763
ENST00000444314.6,-,5.4e-19,940
ENST00000496196.5,-,5.4e-19,2427
ENST00000481473.5,-,5.6e-19,1836
ENST00000339375.8,-,5.7e-19,3015
ENST00000467112.5,-,5.7e-19,3019
ENST00000272402.2,-,5.7e-19,3588
ENST00000497547.1,-,5.7e-19,3022
ENST00000502534.5,+,5.7e-19,560
ENST00000456957.2,-,5.8e-19,569
ENST00000482327.5,-,5.9e-19,576
ENST00000297534.6,-,6e-19,1210
ENST00000396847.7,+,6e-19,3170
ENST00000375077.4,-,6e-19,5459
ENST00000479413.1,-,6.1e-19,902
ENST00000221132.7,-,6.1e-19,2714
ENST00000371610.6,+,6.2e-19,4615
ENST00000334464.6,+,6.3e-19,9699
ENST00000263092.10,+,6.3e-19,5711
ENST00000494318.5,+,6.4e-19,470
ENST00000582010.3,+,6.4e-19,1514
ENST00000325722.7,-,6.4e-19,4789
ENST00000581655.1,+,6.5e-19,549
ENST00000300413.9,+,6.6e-19,4909
ENST00000488761.1,+,6.6e-19,738
ENST00000495579.5,-,6.8e-19,1176
ENST00000498564.5,-,6.8e-19,1176
ENST00000463669.5,-,6.8e-19,1176
ENST00000494870.5,-,6.9e-19,663
ENST00000596239.1,+,7.1e-19,683
ENST00000265758.6,-,7.1e-19,1230
ENST00000220058.8,+,7.2e-19,2734
ENST00000472420.5,-,7.2e-19,694
ENST00000436236.1,-,7.3e-19,1074
ENST00000430270.5,-,7.3e-19,1260
ENST00000040663.7,-,7.4e-19,1735
ENST00000321265.9,-,7.7e-19,1800
ENST00000358689.8,-,7.9e-19,5861
ENST00000587309.5,+,8e-19,4217
ENST00000420995.6,+,8.1e-19,2607
ENST00000467116.5,-,8.2e-19,1634
ENST00000309983.4,-,8.4e-19,3181
ENST00000216264.12,-,8.5e-19,4450
ENST00000451482.1,-,8.5e-19,1078
ENST00000295030.5,-,8.5e-19,4470
ENST00000432079.5,+,8.7e-19,7848
ENST00000486028.1,-,8.8e-19,719
ENST00000621032.4,+,9e-19,5592
ENST00000298274.12,-,9.1e-19,4767
ENST00000585339.5,+,9.1e-19,566
ENST00000440174.1,-,9.3e-19,389
ENST00000358157.2,-,9.4e-19,4206
ENST00000357613.8,+,9.5e-19,4959
ENST00000253115.6,+,9.5e-19,7085
ENST00000612199.4,-,9.6e-19,7120
ENST00000548032.6,-,9.6e-19,907
ENST00000261854.9,+,9.9e-19,7372
ENST00000471841.5,+,1e-18,5224
ENST00000252444.9,-,1e-18,5337
ENST00000382247.5,-,1e-18,4548
ENST00000473145.5,-,1e-18,962
ENST00000445832.7,-,1e-18,2397
ENST00000565349.1,+,1e-18,557
ENST00000335508.10,-,1e-18,6526
ENST00000639153.1,+,1e-18,563
ENST00000322067.11,-,1.1e-18,2465
ENST00000477853.5,-,1.1e-18,6664
ENST00000216214.7,+,1.1e-18,3458
ENST00000519289.1,-,1.1e-18,2949
ENST00000296257.9,+,1.1e-18,5717
ENST00000260731.4,-,1.1e-18,4860
ENST00000267205.6,+,1.1e-18,3009
ENST00000265245.9,-,1.1e-18,3572
ENST00000423527.5,-,1.1e-18,1664
ENST00000251089.6,-,1.2e-18,5176
ENST00000330501.11,-,1.2e-18,5251
ENST00000531158.1,-,1.2e-18,563
ENST00000645924.1,-,1.2e-18,563
ENST00000370904.6,-,1.2e-18,5413
ENST00000467153.5,+,1.2e-18,1529
ENST00000302787.2,+,1.2e-18,5462
ENST00000358337.9,+,1.3e-18,4080
ENST00000544017.5,-,1.3e-18,2572
ENST00000319545.12,-,1.3e-18,3027
ENST00000492112.2,-,1.3e-18,1631
ENST00000482234.1,-,1.4e-18,549
ENST00000367123.7,-,1.4e-18,7204
ENST00000475955.1,-,1.4e-18,383
ENST00000296509.10,-,1.4e-18,5468
ENST00000511313.5,+,1.4e-18,4630
ENST00000645323.1,+,1.5e-18,2110
ENST00000297578.8,+,1.5e-18,2891
ENST00000621606.4,-,1.5e-18,886
ENST00000420886.6,-,1.5e-18,10981
ENST00000366932.3,+,1.5e-18,7771
ENST00000267176.8,-,1.5e-18,11121
ENST00000324306.10,-,1.5e-18,9418
ENST00000264819.6,+,1.6e-18,6884
ENST00000244763.8,-,1.6e-18,9669
ENST00000526234.1,-,1.6e-18,934
ENST00000629088.1,-,1.6e-18,619
ENST00000428216.3,+,1.6e-18,11714
ENST00000369064.7,-,1.6e-18,2729
ENST00000367182.7,+,1.6e-18,10073
ENST00000452533.6,-,1.6e-18,4439
ENST00000418905.1,-,1.6e-18,2022
ENST00000595792.1,-,1.6e-18,645
ENST00000580617.5,-,1.7e-18,1352
ENST00000555105.1,-,1.7e-18,769
ENST00000258149.9,+,1.7e-18,12633
ENST00000563577.1,-,1.7e-18,589
ENST00000413209.6,+,1.7e-18,4733
ENST00000463738.5,+,1.7e-18,528
ENST00000292478.8,-,1.7e-18,5582
ENST00000564967.1,-,1.8e-18,2199
ENST00000411529.6,-,1.8e-18,5688
ENST00000593919.5,-,1.9e-18,1979
ENST00000373257.7,+,1.9e-18,4363
ENST00000395384.8,-,1.9e-18,2343
ENST00000447527.1,-,1.9e-18,4413
ENST00000483634.1,-,1.9e-18,1750
ENST00000626274.2,-,1.9e-18,752
ENST00000469741.6,+,2e-18,1792
ENST00000649427.1,+,2e-18,1798
ENST00000219240.8,-,2e-18,2426
ENST00000395595.7,+,2e-18,2428
ENST00000557781.5,-,2e-18,1569
ENST00000356542.5,+,2e-18,894
ENST00000595607.5,-,2e-18,2478
ENST00000287957.4,-,2e-18,3962
ENST00000395468.8,+,2e-18,6480
ENST00000310442.4,+,2e-18,4721
ENST00000374212.4,-,2.1e-18,4744
ENST00000573708.1,-,2.1e-18,802
ENST00000511643.6,+,2.1e-18,619
ENST00000428414.5,+,2.1e-18,1920
ENST00000645977.1,+,2.1e-18,4168
ENST00000323716.7,-,2.1e-18,2635
ENST00000375864.4,+,2.2e-18,2654
ENST00000606162.5,-,2.2e-18,5859
ENST00000359591.8,-,2.2e-18,6886
ENST00000495977.1,-,2.2e-18,846
ENST00000266544.9,-,2.2e-18,8363
ENST00000338641.8,+,2.2e-18,6025
ENST00000238831.8,-,2.3e-18,11949
ENST00000594216.1,+,2.3e-18,894
ENST00000582019.5,-,2.3e-18,1035
ENST00000592624.1,-,2.3e-18,1587
ENST00000361216.7,-,2.3e-18,5421
ENST00000343255.9,-,2.4e-18,2917
ENST00000374720.7,+,2.4e-18,10511
ENST00000261017.9,-,2.4e-18,6484
ENST00000606017.1,+,2.4e-18,2180
ENST00000417404.2,-,2.4e-18,4742
ENST00000601644.1,+,2.4e-18,338
ENST00000394807.3,+,2.4e-18,2978
ENST00000371655.3,-,2.5e-18,12844
ENST00000621663.4,-,2.5e-18,3567
ENST00000368518.5,-,2.5e-18,1278
ENST00000569223.1,-,2.6e-18,2032
ENST00000481238.1,+,2.6e-18,1755
ENST00000263256.6,-,2.7e-18,3833
ENST00000458616.1,+,2.7e-18,792
ENST00000619133.4,+,2.8e-18,2513
ENST00000296254.3,-,2.8e-18,1060
ENST00000409074.6,-,2.8e-18,2523
ENST00000355237.6,+,2.8e-18,6438
ENST00000260008.3,+,2.8e-18,6480
ENST00000480615.1,-,2.8e-18,1646
ENST00000649841.1,+,2.8e-18,2213
ENST00000464663.1,+,2.8e-18,726
ENST00000488673.6,-,2.8e-18,1443
ENST00000337002.8,+,2.8e-18,6568
ENST00000477639.5,+,2.9e-18,1950
ENST00000393879.3,-,3e-18,4213
ENST00000647394.1,+,3e-18,1995
ENST00000485188.1,+,3e-18,756
ENST00000378313.6,+,3e-18,2753
ENST00000549966.5,+,3.1e-18,538
ENST00000361677.5,-,3.1e-18,3828
ENST00000366394.7,+,3.1e-18,539
ENST00000393965.7,-,3.2e-18,3406
ENST00000485841.5,-,3.2e-18,3957
ENST00000524585.1,-,3.2e-18,1228
ENST00000463428.5,-,3.2e-18,1421
ENST00000489678.1,-,3.3e-18,3008
ENST00000575801.5,+,3.4e-18,2681
ENST00000296490.7,-,3.5e-18,4293
ENST00000378251.2,+,3.5e-18,4310
ENST00000411486.6,+,3.5e-18,3187
ENST00000343629.10,-,3.5e-18,5046
ENST00000412055.5,-,3.6e-18,3761
ENST00000285274.9,+,3.6e-18,5145
ENST00000454762.1,+,3.6e-18,3268
ENST00000498273.1,-,3.7e-18,3849
ENST00000462680.5,+,3.7e-18,2123
ENST00000369851.5,+,3.7e-18,27174
ENST00000514440.1,+,3.7e-18,553
ENST00000478791.1,+,3.7e-18,1225
ENST00000460809.5,-,3.7e-18,2905
ENST00000418385.2,+,3.8e-18,574
ENST00000305786.6,+,3.9e-18,4098
ENST00000480395.5,+,4e-18,2008
ENST00000340941.10,+,4.1e-18,3665
ENST00000293288.12,+,4.1e-18,1358
ENST00000644495.1,+,4.2e-18,3762
ENST00000297151.8,+,4.2e-18,3793
ENST00000481392.1,-,4.3e-18,564
ENST00000249822.8,+,4.3e-18,5301
ENST00000637156.1,-,4.4e-18,1897
ENST00000563815.5,-,4.4e-18,1913
ENST00000647920.1,+,4.4e-18,452
ENST00000630477.1,-,4.5e-18,1127
ENST00000549445.5,+,4.5e-18,759
ENST00000394320.7,-,4.6e-18,4803
ENST00000600878.1,+,4.6e-18,773
ENST00000472343.5,-,4.7e-18,788
ENST00000309983.4,+,4.8e-18,3181
ENST00000582557.5,+,4.8e-18,1560
ENST00000596409.1,+,4.8e-18,3752
ENST00000551276.1,-,4.9e-18,556
ENST00000650368.1,-,4.9e-18,3779
ENST00000615234.4,-,4.9e-18,2831
ENST00000599213.6,-,5e-18,2490
ENST00000495024.5,+,5e-18,2880
ENST00000548408.3,+,5e-18,2884
ENST00000367975.6,+,5e-18,13566
ENST00000282841.9,-,5e-18,2895
ENST00000300035.8,-,5.1e-18,2194
ENST00000380985.9,-,5.2e-18,8661
ENST00000595527.2,-,5.3e-18,2274
ENST00000358387.8,-,5.3e-18,3548
ENST00000261881.8,+,5.4e-18,1744
ENST00000458605.5,-,5.4e-18,2332
ENST00000296658.3,-,5.4e-18,2335
ENST00000590197.1,-,5.4e-18,1762
ENST00000537020.5,+,5.5e-18,3670
ENST00000581518.5,-,5.6e-18,2785
ENST00000572974.1,+,5.6e-18,495
ENST00000632858.1,+,5.6e-18,495
ENST00000272645.8,-,5.6e-18,5042
ENST00000586486.1,+,5.7e-18,1613
ENST00000480170.1,+,5.7e-18,569
ENST00000636280.1,-,5.7e-18,2462
ENST00000272252.9,-,5.8e-18,2484
ENST00000361183.7,-,5.8e-18,5182
ENST00000269856.4,-,5.8e-18,9593
ENST00000261700.7,-,5.8e-18,7075
ENST00000495154.1,-,5.8e-18,581
ENST00000257181.9,-,5.9e-18,5274
ENST00000564521.6,+,5.9e-18,2534
ENST00000343325.8,-,5.9e-18,4554
ENST00000336273.7,-,5.9e-18,6177
ENST00000562621.1,-,5.9e-18,4576
ENST00000436928.7,-,6e-18,595
ENST00000304916.3,-,6e-18,5404
ENST00000302243.11,-,6e-18,2997
ENST00000482747.1,-,6e-18,1701
ENST00000219439.8,-,6.1e-18,3519
ENST00000526991.2,+,6.1e-18,3054
ENST00000340934.9,+,6.2e-18,4124
ENST00000577725.1,-,6.2e-18,613
ENST00000552657.1,-,6.3e-18,553
ENST00000367162.7,-,6.5e-18,7874
ENST00000377990.6,-,6.5e-18,5847
ENST00000383066.8,+,6.5e-18,3759
ENST00000434618.6,+,6.5e-18,3759
ENST00000417059.5,+,6.6e-18,3766
ENST00000374572.7,+,6.6e-18,3766
ENST00000436063.6,+,6.6e-18,5897
ENST00000216044.9,+,6.6e-18,5126
ENST00000371344.5,+,6.7e-18,2473
ENST00000554241.5,+,6.7e-18,2863
ENST00000395530.6,+,6.7e-18,8133
ENST00000361875.7,+,6.7e-18,11154
ENST00000553430.5,+,6.7e-18,1659
ENST00000589427.1,-,6.9e-18,1126
ENST00000359856.10,+,6.9e-18,7209
ENST00000399568.5,-,7e-18,1005
ENST00000301215.7,-,7e-18,4023
ENST00000495596.5,+,7e-18,1976
ENST00000526601.5,+,7.1e-18,2008
ENST00000615911.4,-,7.2e-18,3565
ENST00000343813.9,-,7.2e-18,4771
ENST00000005082.13,+,7.2e-18,2021
ENST00000579855.5,-,7.2e-18,3583
ENST00000261890.6,+,7.4e-18,4930
ENST00000484380.2,+,7.4e-18,1823
ENST00000217109.8,+,7.5e-18,4290
ENST00000478443.1,-,7.5e-18,1071
ENST00000472194.6,-,7.5e-18,4314
ENST00000268349.7,+,7.5e-18,2799
ENST00000421852.5,-,7.6e-18,2827
ENST00000575079.1,-,7.6e-18,583
ENST00000327473.8,-,7.7e-18,3814
ENST00000314574.4,+,7.8e-18,4441
ENST00000597348.5,+,7.8e-18,757
ENST00000632421.1,-,7.9e-18,3375
ENST00000450050.6,+,7.9e-18,4535
ENST00000599253.1,+,8e-18,689
ENST00000367157.4,+,8e-18,3441
ENST00000355417.6,-,8.1e-18,3451
ENST00000283875.5,+,8.1e-18,3012
ENST00000431118.5,-,8.2e-18,2636
ENST00000300107.7,-,8.2e-18,4695
ENST00000394885.7,+,8.2e-18,6347
ENST00000473585.1,+,8.5e-18,506
ENST00000611659.4,+,8.5e-18,3149
ENST00000528987.1,+,8.7e-18,3716
ENST00000318066.6,+,9.1e-18,5186
ENST00000301364.9,-,9.1e-18,5188
ENST00000486951.1,-,9.1e-18,687
ENST00000393728.6,-,9.2e-18,2243
ENST00000577075.6,-,9.2e-18,694
ENST00000366118.2,+,9.3e-18,695
ENST00000485752.1,+,9.3e-18,621
ENST00000642017.1,+,9.4e-18,3465
ENST00000373218.4,+,9.4e-18,7257
ENST00000587424.2,-,9.4e-18,4028
ENST00000568490.1,+,9.4e-18,2004
ENST00000254260.7,+,9.5e-18,3500
ENST00000475135.1,+,9.5e-18,3043
ENST00000380698.4,+,9.6e-18,4118
ENST00000403714.7,+,9.7e-18,7434
ENST00000284116.8,-,9.8e-18,1821
ENST00000314138.10,+,9.9e-18,4916
ENST00000578942.5,-,9.9e-18,3189
ENST00000343110.2,-,1e-17,5747
ENST00000448333.1,-,1e-17,751
ENST00000305513.11,-,1e-17,4384
ENST00000578812.5,+,1e-17,1002
ENST00000366442.2,+,1e-17,780
ENST00000544371.1,-,1.1e-17,1146
ENST00000357066.7,+,1.1e-17,3391
ENST00000498035.5,-,1.1e-17,3932
ENST00000448299.6,-,1.1e-17,1718
ENST00000511313.5,-,1.1e-17,4630
ENST00000012049.9,+,1.1e-17,2310
ENST00000460376.5,+,1.1e-17,2331
ENST00000379847.7,-,1.1e-17,1366
ENST00000450253.6,-,1.1e-17,11523
ENST00000373237.3,-,1.1e-17,2701
ENST00000251195.9,-,1.1e-17,4769
ENST00000494307.1,+,1.1e-17,457
ENST00000353487.6,-,1.1e-17,4148
ENST00000645491.1,+,1.1e-17,2087
ENST00000650182.1,-,1.2e-17,10446
ENST00000585598.1,-,1.2e-17,541
ENST00000415374.5,-,1.2e-17,3308
ENST00000339656.7,+,1.2e-17,6882
ENST00000554106.5,-,1.2e-17,551
ENST00000467190.1,-,1.2e-17,553
ENST00000612549.4,-,1.2e-17,2971
ENST00000564572.1,+,1.2e-17,2266
ENST00000298569.8,-,1.2e-17,2991
ENST00000360793.7,-,1.2e-17,3001
ENST00000302516.9,-,1.3e-17,9720
ENST00000484801.5,+,1.3e-17,2053
ENST00000518219.5,+,1.3e-17,4145
ENST00000640320.1,+,1.3e-17,4145
ENST00000392976.5,-,1.3e-17,3151
ENST00000250111.8,+,1.3e-17,3153
ENST00000624425.2,+,1.3e-17,248
ENST00000566445.5,-,1.3e-17,2768
ENST00000322753.6,-,1.3e-17,3712
ENST00000617199.1,-,1.3e-17,2464
ENST00000412351.1,+,1.4e-17,491
ENST00000350498.7,-,1.4e-17,2546
ENST00000494643.1,-,1.4e-17,498
ENST00000595527.2,+,1.4e-17,2274
ENST00000312239.9,+,1.4e-17,3938
ENST00000258383.3,+,1.4e-17,1748
ENST00000261733.6,+,1.4e-17,9569
ENST00000246548.8,-,1.4e-17,4023
ENST00000393766.6,+,1.5e-17,1789
ENST00000298875.8,-,1.5e-17,13035
ENST00000264451.11,-,1.5e-17,6218
ENST00000622581.4,-,1.5e-17,1245
ENST00000496455.6,-,1.5e-17,8751
ENST00000273590.3,-,1.5e-17,2146
ENST00000482979.5,-,1.5e-17,1449
ENST00000261601.7,-,1.5e-17,4921
ENST00000203166.9,+,1.5e-17,4283
ENST00000498926.6,+,1.5e-17,2834
ENST00000357214.5,-,1.5e-17,3747
ENST00000368404.8,-,1.6e-17,1300
ENST00000311506.9,-,1.6e-17,2537
ENST00000447944.6,-,1.6e-17,4411
ENST00000216410.7,-,1.6e-17,3860
ENST00000409734.3,-,1.6e-17,1722
ENST00000409600.5,+,1.6e-17,6875
ENST00000448443.6,-,1.6e-17,2255
ENST00000377038.7,+,1.6e-17,6032
ENST00000547444.1,+,1.6e-17,517
ENST00000619400.2,-,1.7e-17,7111
ENST00000481195.5,-,1.7e-17,4649
ENST00000598742.5,+,1.7e-17,2359
ENST00000281282.5,+,1.7e-17,7224
ENST00000302516.9,+,1.7e-17,9720
ENST00000194155.6,+,1.7e-17,4126
ENST00000221486.5,+,1.7e-17,2753
ENST00000053468.3,-,1.7e-17,2110
ENST00000551242.5,-,1.7e-17,2755
ENST00000504697.1,-,1.7e-17,610
ENST00000358204.8,+,1.7e-17,2782
ENST00000330964.9,-,1.8e-17,6434
ENST00000262960.13,-,1.8e-17,4295
ENST00000531649.1,-,1.8e-17,554
ENST00000488894.1,-,1.8e-17,1905
ENST00000520220.6,-,1.8e-17,5808
ENST00000589856.1,-,1.8e-17,1505
ENST00000488733.1,-,1.8e-17,1728
ENST00000314103.5,+,1.9e-17,4480
ENST00000261507.10,+,1.9e-17,2269
ENST00000182527.3,-,1.9e-17,6908
ENST00000368324.4,+,1.9e-17,5240
ENST00000571073.5,+,1.9e-17,2311
ENST00000366639.8,-,1.9e-17,2650
ENST00000399012.6,+,1.9e-17,5287
ENST00000619874.4,-,1.9e-17,843
ENST00000551694.5,+,1.9e-17,2661
ENST00000539749.5,-,1.9e-17,3517
ENST00000356769.7,-,1.9e-17,2690
ENST00000340344.4,-,1.9e-17,4676
ENST00000284878.11,+,2e-17,6254
ENST00000395894.6,+,2e-17,5443
ENST00000621990.4,+,2e-17,2738
ENST00000261318.4,+,2e-17,8404
ENST00000381657.7,+,2e-17,5507
ENST00000481782.1,+,2e-17,3659
ENST00000361565.8,-,2e-17,11435
ENST00000376057.8,+,2e-17,2801
ENST00000464847.6,+,2e-17,5616
ENST00000553131.5,-,2e-17,3237
ENST00000528353.5,-,2.1e-17,2495
ENST00000253039.8,+,2.1e-17,2858
ENST00000368636.8,-,2.1e-17,2861
ENST00000340533.8,-,2.1e-17,3283
ENST00000397226.2,-,2.1e-17,1499
ENST00000254584.6,-,2.1e-17,2543
ENST00000320623.9,+,2.1e-17,2912
ENST00000295030.5,+,2.1e-17,4470
ENST00000513407.1,+,2.1e-17,2276
ENST00000639845.1,-,2.1e-17,832
ENST00000379485.1,-,2.1e-17,5178
ENST00000273398.7,+,2.2e-17,4591
ENST00000380155.3,-,2.2e-17,6129
ENST00000267023.8,-,2.2e-17,1417
ENST00000397622.6,+,2.2e-17,3545
ENST00000445782.2,-,2.2e-17,980
ENST00000257910.7,+,2.3e-17,1849
ENST00000339834.9,-,2.3e-17,2422
ENST00000418100.5,-,2.3e-17,2764
ENST00000369722.7,-,2.3e-17,3156
ENST00000402297.5,+,2.3e-17,3158
ENST00000350777.6,-,2.3e-17,3163
ENST00000492472.1,+,2.3e-17,902
ENST00000395471.7,+,2.3e-17,2178
ENST00000265465.7,+,2.4e-17,3744
ENST00000415914.3,+,2.4e-17,3306
ENST00000244571.4,-,2.4e-17,3854
ENST00000415083.6,+,2.5e-17,3414
ENST00000495813.5,-,2.5e-17,1784
ENST00000366210.2,-,2.5e-17,672
ENST00000638430.1,-,2.5e-17,1237
ENST00000326279.10,-,2.5e-17,4008
ENST00000257904.10,-,2.5e-17,2076
ENST00000219097.6,-,2.6e-17,1628
ENST00000435296.2,-,2.6e-17,785
ENST00000371316.3,-,2.6e-17,6369
ENST00000003100.12,+,2.7e-17,3210
ENST00000464729.1,+,2.7e-17,408
ENST00000324689.8,+,2.7e-17,1905
ENST00000301391.7,-,2.7e-17,1910
ENST00000409648.8,-,2.7e-17,3691
ENST00000450253.6,+,2.7e-17,11523
ENST00000582674.1,+,2.7e-17,581
ENST00000447648.6,-,2.7e-17,6564
ENST00000263372.4,-,2.7e-17,5722
ENST00000319863.12,+,2.8e-17,4357
ENST00000272645.8,+,2.8e-17,5042
ENST00000380198.6,-,2.8e-17,1775
ENST00000414812.5,+,2.8e-17,957
ENST00000493763.5,-,2.8e-17,4476
ENST00000367419.9,-,2.8e-17,2024
ENST00000295121.10,-,2.8e-17,2626
ENST00000592540.5,+,2.8e-17,2315
ENST00000323929.7,+,2.9e-17,6897
ENST00000595191.1,-,2.9e-17,872
ENST00000509571.1,+,2.9e-17,442
