transcript_id, free_energy, transcript_pool
ENST00000647239.1,-268.00,enriched_transcripts
ENST00000237837.1,-938.84,enriched_transcripts
ENST00000483575.5,-232.00,enriched_transcripts
ENST00000217086.8,-1778.10,enriched_transcripts
ENST00000469867.1,-746.50,enriched_transcripts
ENST00000473347.1,-822.70,enriched_transcripts
ENST00000380394.8,-391.80,enriched_transcripts
ENST00000315377.4,-254.00,enriched_transcripts
ENST00000409562.7,-1033.20,enriched_transcripts
ENST00000560854.1,-1344.87,enriched_transcripts
ENST00000641320.1,-1834.20,enriched_transcripts
ENST00000314100.10,-3169.80,enriched_transcripts
ENST00000536575.5,-1621.30,enriched_transcripts
ENST00000615603.4,-1975.00,enriched_transcripts
ENST00000338970.10,-2508.84,enriched_transcripts
ENST00000305641.6,-2472.80,enriched_transcripts
ENST00000316084.9,-489.50,enriched_transcripts
ENST00000566753.5,-440.70,enriched_transcripts
ENST00000433104.2,-897.30,enriched_transcripts
ENST00000318037.3,-1645.90,enriched_transcripts
ENST00000624793.1,-442.10,enriched_transcripts
ENST00000638183.1,-1056.60,enriched_transcripts
ENST00000335251.10,-3733.10,enriched_transcripts
ENST00000276603.9,-455.80,enriched_transcripts
ENST00000276602.10,-832.30,enriched_transcripts
ENST00000612549.4,-999.00,enriched_transcripts
ENST00000263620.7,-2602.80,enriched_transcripts
ENST00000242351.9,-2056.90,enriched_transcripts
ENST00000309955.7,-5140.83,enriched_transcripts
ENST00000616877.3,-280.90,enriched_transcripts
ENST00000540040.2,-350.70,enriched_transcripts
ENST00000380155.3,-2282.17,enriched_transcripts
ENST00000514764.5,-254.80,enriched_transcripts
ENST00000379731.4,-1464.32,enriched_transcripts
ENST00000526457.3,-3568.34,enriched_transcripts
ENST00000323460.9,-1961.10,enriched_transcripts
ENST00000416600.6,-4898.98,enriched_transcripts
ENST00000352983.6,-315.60,enriched_transcripts
ENST00000222247.9,-261.10,enriched_transcripts
ENST00000491306.5,-1288.00,enriched_transcripts
ENST00000490649.1,-477.20,enriched_transcripts
ENST00000638240.1,-641.00,enriched_transcripts
ENST00000620720.3,-280.90,enriched_transcripts
ENST00000630362.2,-1141.70,enriched_transcripts
ENST00000629920.2,-813.50,enriched_transcripts
ENST00000619161.5,-308.50,enriched_transcripts
ENST00000639708.2,-200.70,enriched_transcripts
ENST00000640789.2,-202.20,enriched_transcripts
ENST00000639516.1,-180.20,enriched_transcripts
ENST00000648011.1,-788.10,enriched_transcripts
ENST00000394662.2,-518.70,enriched_transcripts
ENST00000449307.3,-2960.30,enriched_transcripts
ENST00000400593.6,-478.50,enriched_transcripts
ENST00000613141.1,-695.30,enriched_transcripts
ENST00000452711.1,-429.00,enriched_transcripts
ENST00000269395.6,-296.60,enriched_transcripts
ENST00000418655.2,-885.64,enriched_transcripts
ENST00000420788.2,-165.60,enriched_transcripts
ENST00000358001.4,-227.80,enriched_transcripts
ENST00000417397.2,-463.10,enriched_transcripts
ENST00000524174.1,-147.40,enriched_transcripts
ENST00000445125.2,-633.00,enriched_transcripts
ENST00000463799.1,-153.40,enriched_transcripts
ENST00000556820.2,-63.30,enriched_transcripts
ENST00000514057.1,-80.44,enriched_transcripts
ENST00000457540.1,-115.29,enriched_transcripts
ENST00000416718.2,-105.20,enriched_transcripts
ENST00000568952.1,-110.94,enriched_transcripts
ENST00000414273.1,-326.20,enriched_transcripts
