target_id, strand, e_value, length
ENST00000330636.8,-,6.9e-19,7312
ENST00000588303.1,+,7.3e-19,914
ENST00000595529.1,+,7.3e-19,814
ENST00000553160.1,-,7.5e-19,522
ENST00000448333.1,+,7.6e-19,751
ENST00000597922.1,+,7.7e-19,476
ENST00000553430.5,-,8e-19,1659
ENST00000302692.6,+,8.1e-19,3854
ENST00000568371.1,-,8.5e-19,734
ENST00000300107.7,+,8.5e-19,4695
ENST00000590689.1,+,8.5e-19,834
ENST00000263092.10,-,8.8e-19,5711
ENST00000589427.1,+,9.1e-19,1126
ENST00000596409.1,-,9.1e-19,3752
ENST00000604665.1,+,9.2e-19,891
ENST00000253039.8,-,9.2e-19,2858
ENST00000482587.5,-,9.3e-19,7067
ENST00000403714.7,-,9.8e-19,7434
ENST00000359680.9,-,1e-18,2716
ENST00000597037.1,+,1e-18,780
ENST00000380579.5,-,1e-18,2776
ENST00000412055.5,+,1.1e-18,3761
ENST00000361875.7,-,1.1e-18,11154
ENST00000286298.4,+,1.1e-18,8080
ENST00000562621.1,+,1.1e-18,4576
ENST00000322088.10,+,1.1e-18,5380
ENST00000394320.7,+,1.2e-18,4803
ENST00000482747.1,+,1.2e-18,1701
ENST00000327473.8,+,1.2e-18,3814
ENST00000371538.4,+,1.3e-18,4005
ENST00000371335.4,+,1.3e-18,4030
ENST00000621663.4,-,1.3e-18,3567
ENST00000518219.5,-,1.3e-18,4145
ENST00000640320.1,-,1.3e-18,4145
ENST00000272645.8,-,1.4e-18,5042
ENST00000318110.9,+,1.5e-18,1830
ENST00000372164.7,+,1.5e-18,5476
ENST00000366394.7,-,1.6e-18,539
ENST00000591755.5,+,1.6e-18,1077
ENST00000487002.1,+,1.7e-18,2017
ENST00000373586.1,+,1.7e-18,1458
ENST00000399688.7,+,1.8e-18,3297
ENST00000350498.7,+,1.8e-18,2546
ENST00000264221.6,+,1.9e-18,3339
ENST00000514888.5,+,1.9e-18,3340
ENST00000373257.7,-,1.9e-18,4363
ENST00000502534.5,-,1.9e-18,560
ENST00000263256.6,-,1.9e-18,3833
ENST00000447944.6,+,1.9e-18,4411
ENST00000511024.5,+,2e-18,1882
ENST00000413209.6,-,2e-18,4733
ENST00000479035.6,-,2e-18,2821
ENST00000589561.5,-,2.1e-18,2577
ENST00000337002.8,-,2.1e-18,6568
ENST00000311956.8,-,2.2e-18,3375
ENST00000623153.1,-,2.2e-18,1008
ENST00000545398.5,+,2.3e-18,3106
ENST00000354336.7,-,2.3e-18,5325
ENST00000353411.10,-,2.3e-18,9474
ENST00000397149.3,-,2.3e-18,7122
ENST00000297029.9,+,2.4e-18,9713
ENST00000472343.5,+,2.4e-18,788
ENST00000512439.6,+,2.4e-18,5687
ENST00000642017.1,-,2.5e-18,3465
ENST00000338641.8,-,2.6e-18,6025
ENST00000268349.7,-,2.6e-18,2799
ENST00000622317.5,+,2.7e-18,1078
ENST00000528353.5,+,2.7e-18,2495
ENST00000481238.1,-,2.7e-18,1755
ENST00000450253.6,+,2.8e-18,11523
ENST00000353047.10,+,2.8e-18,3875
ENST00000432079.5,-,2.9e-18,7848
ENST00000589644.1,+,3e-18,1917
ENST00000249822.8,-,3e-18,5301
ENST00000309983.4,-,3e-18,3181
ENST00000194155.6,-,3e-18,4126
ENST00000477639.5,-,3e-18,1950
ENST00000491306.5,-,3e-18,3647
ENST00000488013.1,-,3.1e-18,651
ENST00000647439.1,+,3.1e-18,407
ENST00000319863.12,-,3.2e-18,4357
ENST00000488673.6,+,3.2e-18,1443
ENST00000264515.10,+,3.2e-18,4404
ENST00000327898.9,-,3.4e-18,1700
ENST00000399012.6,-,3.4e-18,5287
ENST00000409257.9,-,3.4e-18,1730
ENST00000336926.10,+,3.4e-18,8013
ENST00000276602.10,-,3.5e-18,3268
ENST00000587928.5,+,3.5e-18,4230
ENST00000381657.7,-,3.5e-18,5507
ENST00000262960.13,+,3.6e-18,4295
ENST00000527614.5,+,3.6e-18,5587
ENST00000512576.2,+,3.6e-18,6480
ENST00000361060.5,+,3.7e-18,8632
ENST00000493763.5,+,3.7e-18,4476
ENST00000359543.7,+,3.8e-18,5197
ENST00000567200.1,+,3.9e-18,412
ENST00000374212.4,+,3.9e-18,4744
ENST00000237380.11,+,4.1e-18,10868
ENST00000599719.5,+,4.1e-18,1473
ENST00000489288.6,-,4.2e-18,1870
ENST00000606162.5,+,4.3e-18,5859
ENST00000330263.4,+,4.6e-18,2315
ENST00000509910.1,-,4.7e-18,4333
ENST00000458013.6,-,4.7e-18,6403
ENST00000435296.2,+,4.7e-18,785
ENST00000296257.9,-,4.8e-18,5717
ENST00000220058.8,-,4.8e-18,2734
ENST00000299163.6,+,4.9e-18,13011
ENST00000273398.7,-,4.9e-18,4591
ENST00000551024.5,+,5.1e-18,1042
ENST00000593941.5,-,5.2e-18,863
ENST00000375864.4,-,5.3e-18,2654
ENST00000368843.8,-,5.3e-18,7250
ENST00000467112.5,+,5.3e-18,3019
ENST00000497547.1,+,5.3e-18,3022
ENST00000261881.8,-,5.5e-18,1744
ENST00000359543.7,-,5.6e-18,5197
ENST00000234831.9,-,5.6e-18,6691
ENST00000585598.1,+,5.8e-18,541
ENST00000302764.8,-,5.9e-18,8005
ENST00000562009.1,-,5.9e-18,3337
ENST00000589856.1,+,6e-18,1505
ENST00000586602.5,+,6e-18,7177
ENST00000263256.6,+,6e-18,3833
ENST00000298130.4,-,6.2e-18,2777
ENST00000371199.7,+,6.3e-18,8591
ENST00000521015.5,-,6.3e-18,3158
ENST00000378509.8,+,6.5e-18,6797
ENST00000361605.3,-,6.6e-18,1666
ENST00000558194.5,+,6.7e-18,7102
ENST00000468709.5,+,6.8e-18,2402
ENST00000300035.8,+,7e-18,2194
ENST00000287957.4,+,7e-18,3962
ENST00000590197.1,+,7e-18,1762
ENST00000361565.8,+,7.4e-18,11435
ENST00000479413.1,+,7.5e-18,902
ENST00000356321.4,-,7.6e-18,5439
ENST00000638430.1,+,7.6e-18,1237
ENST00000509571.1,-,7.6e-18,442
ENST00000565723.1,-,7.6e-18,408
ENST00000595077.1,-,7.9e-18,2465
ENST00000566445.5,+,7.9e-18,2768
ENST00000297029.9,-,8.1e-18,9713
ENST00000453471.6,-,8.3e-18,620
ENST00000257696.4,+,8.3e-18,1349
ENST00000590389.5,+,8.5e-18,769
ENST00000320785.9,-,8.6e-18,7919
ENST00000375077.4,+,8.6e-18,5459
ENST00000296490.7,+,8.6e-18,4293
ENST00000494643.1,+,8.7e-18,498
ENST00000489378.5,-,8.8e-18,1434
ENST00000575352.5,-,8.8e-18,1434
ENST00000340169.7,+,9.2e-18,1485
ENST00000323716.7,+,9.5e-18,2635
ENST00000545712.6,+,1e-17,4438
ENST00000484801.5,-,1e-17,2053
ENST00000593003.5,+,1.1e-17,2402
ENST00000393965.7,+,1.1e-17,3406
ENST00000436236.1,+,1.1e-17,1074
ENST00000546398.5,-,1.2e-17,2075
ENST00000338970.10,+,1.3e-17,7072
ENST00000508631.2,-,1.3e-17,558
ENST00000356769.7,+,1.4e-17,2690
ENST00000472420.5,+,1.4e-17,694
ENST00000474140.1,-,1.4e-17,3499
ENST00000361070.8,+,1.4e-17,4957
ENST00000372236.8,+,1.4e-17,3540
ENST00000378165.8,+,1.5e-17,2907
ENST00000229307.8,+,1.5e-17,5183
ENST00000323929.7,+,1.6e-17,6897
ENST00000415409.6,-,1.6e-17,1274
ENST00000343110.2,+,1.7e-17,5747
ENST00000393879.3,+,1.7e-17,4213
ENST00000423527.5,+,1.7e-17,1664
ENST00000313956.4,+,1.8e-17,2341
ENST00000261017.9,+,1.9e-17,6484
ENST00000467843.6,+,1.9e-17,4187
ENST00000176763.9,+,2e-17,6060
ENST00000463428.5,+,2e-17,1421
ENST00000409566.1,-,2e-17,834
ENST00000016171.5,-,2e-17,2356
ENST00000261700.7,+,2e-17,7075
ENST00000326737.3,+,2.1e-17,1967
ENST00000367846.8,-,2.1e-17,2177
ENST00000303575.8,-,2.1e-17,4127
ENST00000422968.2,+,2.1e-17,2004
ENST00000631687.1,+,2.1e-17,671
ENST00000381736.7,+,2.2e-17,4332
ENST00000397622.6,-,2.2e-17,3545
ENST00000549009.1,-,2.3e-17,558
ENST00000322753.6,-,2.3e-17,3712
ENST00000295958.9,+,2.4e-17,6483
ENST00000598768.1,+,2.4e-17,497
ENST00000463168.1,+,2.4e-17,502
ENST00000514440.1,-,2.4e-17,553
ENST00000261708.8,+,2.5e-17,4392
ENST00000345496.6,+,2.5e-17,3566
ENST00000445832.7,+,2.5e-17,2397
ENST00000230048.4,-,2.5e-17,4047
ENST00000496196.5,+,2.6e-17,2427
ENST00000360816.7,+,2.6e-17,5036
ENST00000544349.6,-,2.6e-17,2495
ENST00000631029.1,-,2.8e-17,123
ENST00000302516.9,-,2.8e-17,9720
ENST00000520537.1,+,2.8e-17,690
ENST00000595295.1,+,2.9e-17,909
ENST00000544371.1,+,3.1e-17,1146
ENST00000349004.5,-,3.1e-17,2964
ENST00000524109.1,+,3.2e-17,1175
ENST00000253115.6,+,3.2e-17,7085
ENST00000595883.5,+,3.3e-17,3791
ENST00000447527.1,+,3.4e-17,4413
ENST00000292478.8,+,3.5e-17,5582
ENST00000470143.1,-,3.5e-17,663
ENST00000373731.6,+,3.6e-17,5619
ENST00000600960.1,+,3.7e-17,2904
ENST00000369880.7,+,3.8e-17,2404
ENST00000262293.8,+,4e-17,2332
ENST00000578542.5,+,4e-17,2334
ENST00000646827.1,+,4e-17,2138
ENST00000465410.1,-,4.1e-17,514
ENST00000361216.7,+,4.2e-17,5421
ENST00000295628.3,+,4.5e-17,7903
ENST00000367139.7,+,4.7e-17,3272
ENST00000495275.1,+,4.7e-17,2473
ENST00000510037.1,+,4.8e-17,1927
ENST00000645392.1,-,4.8e-17,3384
ENST00000267199.8,-,4.9e-17,4586
ENST00000590320.3,-,5.1e-17,3584
ENST00000571442.5,+,5.1e-17,588
ENST00000646641.1,-,5.2e-17,3643
ENST00000637156.1,+,5.2e-17,1897
ENST00000371655.3,+,5.3e-17,12844
ENST00000409074.6,+,5.3e-17,2523
ENST00000392647.6,+,5.3e-17,4077
ENST00000430155.6,-,5.4e-17,2831
ENST00000639725.1,+,5.6e-17,4782
ENST00000396981.6,-,5.7e-17,3974
ENST00000469902.5,-,5.7e-17,2989
ENST00000367182.7,+,5.7e-17,10073
ENST00000642592.1,+,5.7e-17,1047
ENST00000462086.1,+,5.8e-17,609
ENST00000475128.5,-,5.9e-17,1371
ENST00000650368.1,+,5.9e-17,3779
ENST00000420995.6,-,6e-17,2607
ENST00000261733.6,+,6.1e-17,9569
ENST00000319863.12,+,6.2e-17,4357
ENST00000261015.4,+,6.3e-17,8100
ENST00000258947.7,-,6.4e-17,3682
ENST00000318348.8,+,6.5e-17,2356
ENST00000450849.6,+,6.6e-17,5070
ENST00000274242.9,+,6.7e-17,7686
ENST00000599581.5,+,6.8e-17,2065
ENST00000297534.6,+,7.3e-17,1210
ENST00000339656.7,-,7.3e-17,6882
ENST00000429604.5,+,7.5e-17,4336
ENST00000612199.4,+,7.6e-17,7120
ENST00000340941.10,-,7.7e-17,3665
ENST00000484855.2,-,7.9e-17,2183
ENST00000490945.1,+,8.2e-17,1596
ENST00000256366.5,-,8.3e-17,7015
ENST00000440174.1,+,8.9e-17,389
ENST00000257181.9,+,9.2e-17,5274
ENST00000372447.7,+,9.2e-17,1795
ENST00000368636.8,+,9.5e-17,2861
ENST00000624425.2,-,9.8e-17,248
ENST00000377269.3,-,9.9e-17,2497
ENST00000608945.1,-,1e-16,267
ENST00000521941.1,-,1.1e-16,224
ENST00000587391.5,-,1.1e-16,5971
ENST00000517637.2,+,1.2e-16,463
ENST00000519289.1,+,1.2e-16,2949
ENST00000367975.6,+,1.2e-16,13566
ENST00000582010.3,-,1.2e-16,1514
ENST00000264451.11,+,1.2e-16,6218
ENST00000368324.4,-,1.2e-16,5240
ENST00000269122.7,+,1.2e-16,7760
ENST00000452533.6,+,1.2e-16,4439
ENST00000436063.6,-,1.2e-16,5897
ENST00000462002.5,-,1.3e-16,716
ENST00000334660.9,-,1.3e-16,3329
ENST00000368026.10,-,1.3e-16,4835
ENST00000504157.5,+,1.4e-16,2211
ENST00000353411.10,+,1.4e-16,9474
ENST00000367612.7,-,1.4e-16,7905
ENST00000527676.2,-,1.4e-16,628
ENST00000358157.2,+,1.4e-16,4206
ENST00000580617.5,+,1.5e-16,1352
ENST00000309660.9,+,1.5e-16,3467
ENST00000274695.8,-,1.6e-16,3272
ENST00000486901.1,-,1.6e-16,3586
ENST00000571073.5,-,1.7e-16,2311
ENST00000262848.5,+,1.7e-16,6031
ENST00000369851.5,-,1.7e-16,27174
ENST00000251089.6,+,1.7e-16,5176
ENST00000440886.1,+,1.7e-16,3345
ENST00000373019.4,-,1.8e-16,3673
ENST00000264230.4,-,1.8e-16,3415
ENST00000568158.1,-,1.8e-16,496
ENST00000436697.2,+,1.8e-16,866
ENST00000377705.5,+,1.9e-16,6649
ENST00000619400.2,+,2e-16,7111
ENST00000647683.1,+,2e-16,4239
ENST00000560504.1,+,2.2e-16,1114
ENST00000272402.2,+,2.2e-16,3588
ENST00000545367.5,-,2.2e-16,846
ENST00000368069.7,+,2.2e-16,4664
ENST00000241704.7,+,2.3e-16,4789
ENST00000322067.11,+,2.3e-16,2465
ENST00000459959.1,-,2.3e-16,721
ENST00000227322.7,-,2.4e-16,6566
ENST00000261733.6,-,2.4e-16,9569
ENST00000575079.1,+,2.5e-16,583
ENST00000221132.7,+,2.5e-16,2714
ENST00000549375.5,+,2.6e-16,1061
ENST00000530782.5,+,2.6e-16,3910
ENST00000219240.8,+,2.7e-16,2426
ENST00000551276.1,+,2.7e-16,556
ENST00000491438.2,+,2.7e-16,438
ENST00000294485.5,+,2.7e-16,7346
ENST00000617199.1,+,2.7e-16,2464
ENST00000330501.11,-,2.7e-16,5251
ENST00000486304.2,+,2.8e-16,711
ENST00000472490.1,+,2.9e-16,561
ENST00000377038.7,+,2.9e-16,6032
ENST00000297540.4,+,2.9e-16,4288
ENST00000538183.6,-,3e-16,14266
ENST00000623065.1,-,3.2e-16,213
ENST00000418919.6,-,3.3e-16,4877
ENST00000265164.6,+,3.4e-16,1548
ENST00000494306.1,+,3.4e-16,738
ENST00000258145.7,-,3.5e-16,5122
ENST00000367123.7,+,3.8e-16,7204
ENST00000551712.1,+,4e-16,1573
ENST00000587424.2,+,4.1e-16,4028
ENST00000405068.3,+,4.1e-16,2958
ENST00000464603.1,-,4.1e-16,890
ENST00000577725.1,+,4.1e-16,613
ENST00000619874.4,+,4.2e-16,843
ENST00000645977.1,-,4.3e-16,4168
ENST00000456105.2,-,4.4e-16,2321
ENST00000561371.5,+,4.5e-16,555
ENST00000055077.7,+,4.6e-16,1695
ENST00000369980.7,+,4.8e-16,3666
ENST00000399012.6,+,5e-16,5287
ENST00000217109.8,-,5.2e-16,4290
ENST00000381657.7,+,5.2e-16,5507
ENST00000533107.3,-,5.2e-16,2187
ENST00000408888.7,-,5.6e-16,2054
ENST00000367157.4,-,5.6e-16,3441
ENST00000600878.1,-,5.7e-16,773
ENST00000509014.2,-,5.7e-16,577
ENST00000595499.1,+,5.9e-16,799
ENST00000619742.4,+,6e-16,1787
ENST00000518430.1,+,6e-16,515
ENST00000260731.4,+,6.3e-16,4860
ENST00000492112.2,+,6.3e-16,1631
ENST00000392378.6,-,6.6e-16,3455
ENST00000465134.5,+,6.8e-16,1862
ENST00000582674.1,-,6.9e-16,581
ENST00000258383.3,-,7.8e-16,1748
ENST00000537364.5,-,7.8e-16,4094
ENST00000358387.8,+,7.9e-16,3548
ENST00000552176.2,+,8.1e-16,1485
ENST00000634509.1,+,8.2e-16,442
ENST00000462680.5,-,8.3e-16,2123
ENST00000470826.5,+,8.3e-16,2281
ENST00000431620.6,-,8.4e-16,388
ENST00000585388.1,-,8.5e-16,942
ENST00000621663.4,+,8.5e-16,3567
ENST00000399287.7,+,8.6e-16,711
ENST00000250111.8,-,8.7e-16,3153
ENST00000616978.4,+,8.8e-16,10024
ENST00000179259.5,+,8.8e-16,2782
ENST00000490537.6,-,8.9e-16,2423
ENST00000373493.9,-,8.9e-16,7943
ENST00000295121.10,+,9e-16,2626
ENST00000526234.1,+,9e-16,934
ENST00000280557.10,-,9.4e-16,2769
ENST00000586054.2,-,9.7e-16,2832
ENST00000305513.11,+,9.7e-16,4384
ENST00000453225.5,-,9.9e-16,859
ENST00000336273.7,+,1e-15,6177
ENST00000569224.1,+,1e-15,707
ENST00000372187.9,+,1e-15,1647
ENST00000563945.1,+,1e-15,491
ENST00000612383.4,+,1e-15,491
ENST00000465425.2,-,1.1e-15,2341
ENST00000222800.7,+,1.1e-15,1483
ENST00000372185.5,+,1.1e-15,1723
ENST00000606570.1,-,1.1e-15,3931
ENST00000411486.6,-,1.1e-15,3187
ENST00000497897.5,+,1.1e-15,1562
ENST00000358387.8,-,1.1e-15,3548
ENST00000366956.9,+,1.1e-15,12985
ENST00000343255.9,+,1.1e-15,2917
ENST00000399442.1,+,1.2e-15,612
ENST00000503362.1,-,1.2e-15,4571
ENST00000537073.1,-,1.2e-15,1768
ENST00000483443.1,+,1.2e-15,1069
ENST00000522048.1,-,1.2e-15,1069
ENST00000377798.8,+,1.3e-15,1868
ENST00000547066.5,+,1.3e-15,616
ENST00000330501.11,+,1.3e-15,5251
ENST00000272252.9,+,1.3e-15,2484
ENST00000302787.2,-,1.3e-15,5462
ENST00000461689.5,-,1.3e-15,2276
ENST00000454658.6,-,1.3e-15,1555
ENST00000633702.1,-,1.3e-15,1555
ENST00000586711.1,-,1.4e-15,571
ENST00000481195.5,+,1.4e-15,4649
ENST00000344063.6,-,1.4e-15,4796
ENST00000518360.5,-,1.4e-15,735
ENST00000379485.1,+,1.4e-15,5178
ENST00000488761.1,-,1.4e-15,738
ENST00000518671.5,+,1.4e-15,1158
ENST00000437813.7,-,1.5e-15,634
ENST00000488894.1,+,1.5e-15,1905
ENST00000298875.8,-,1.5e-15,13035
ENST00000492755.1,+,1.5e-15,498
ENST00000415374.5,+,1.5e-15,3308
ENST00000415083.6,-,1.5e-15,3414
ENST00000318066.6,+,1.5e-15,5186
ENST00000313552.10,-,1.5e-15,5196
ENST00000485841.5,+,1.6e-15,3957
ENST00000583408.5,-,1.6e-15,1440
ENST00000414029.1,-,1.6e-15,3605
ENST00000600997.5,-,1.6e-15,2275
ENST00000528318.5,+,1.6e-15,1169
ENST00000612553.4,-,1.6e-15,1174
ENST00000547852.1,-,1.7e-15,581
ENST00000573708.1,+,1.7e-15,802
ENST00000442218.2,-,1.7e-15,3010
ENST00000316804.9,+,1.7e-15,3248
ENST00000257910.7,-,1.7e-15,1849
ENST00000221486.5,-,1.7e-15,2753
ENST00000595527.2,-,1.7e-15,2274
ENST00000344420.9,-,1.8e-15,3898
ENST00000558810.1,+,1.8e-15,652
ENST00000450403.3,+,1.8e-15,4820
ENST00000264819.6,-,1.8e-15,6884
ENST00000555640.6,-,1.8e-15,2887
ENST00000610496.1,+,1.8e-15,578
ENST00000632311.1,+,1.8e-15,578
ENST00000596390.1,+,1.9e-15,1178
ENST00000492070.1,-,1.9e-15,560
ENST00000361786.6,-,1.9e-15,4486
ENST00000498926.6,-,1.9e-15,2834
ENST00000302450.10,+,1.9e-15,4533
ENST00000260803.8,-,1.9e-15,2666
ENST00000257904.10,+,1.9e-15,2076
ENST00000470110.2,+,1.9e-15,2867
ENST00000357214.5,+,1.9e-15,3747
ENST00000263372.4,+,2e-15,5722
ENST00000252329.3,+,2e-15,1007
ENST00000353487.6,+,2e-15,4148
ENST00000572974.1,-,2e-15,495
ENST00000632858.1,-,2e-15,495
ENST00000510219.2,-,2e-15,576
ENST00000366185.2,-,2.1e-15,1063
ENST00000377705.5,-,2.1e-15,6649
ENST00000583950.1,-,2.2e-15,741
ENST00000489541.1,+,2.2e-15,551
ENST00000648354.1,+,2.2e-15,787
ENST00000260408.7,+,2.2e-15,11431
ENST00000265322.7,+,2.2e-15,1853
ENST00000490672.1,-,2.2e-15,3264
ENST00000484634.1,-,2.2e-15,536
ENST00000249064.8,-,2.2e-15,3985
ENST00000598179.1,+,2.2e-15,1570
ENST00000265732.9,-,2.3e-15,1742
ENST00000599253.1,-,2.3e-15,689
ENST00000375771.5,+,2.4e-15,3498
ENST00000588738.5,-,2.4e-15,586
ENST00000372978.7,+,2.4e-15,794
ENST00000511643.6,-,2.5e-15,619
ENST00000375766.7,+,2.5e-15,3695
ENST00000650182.1,+,2.5e-15,10446
ENST00000374720.7,-,2.5e-15,10511
ENST00000515359.6,-,2.5e-15,5576
ENST00000565097.1,+,2.6e-15,1147
ENST00000629088.1,+,2.6e-15,619
ENST00000510409.1,+,2.7e-15,815
ENST00000595792.1,+,2.7e-15,645
ENST00000282296.9,+,2.7e-15,4564
ENST00000373625.7,+,2.7e-15,7378
ENST00000372358.9,+,2.7e-15,2040
ENST00000590940.5,-,2.8e-15,762
ENST00000399075.6,+,2.8e-15,2960
ENST00000337682.8,-,2.8e-15,3163
ENST00000617411.2,-,2.8e-15,3163
ENST00000380985.9,+,2.8e-15,8661
ENST00000571370.1,+,2.8e-15,1112
ENST00000599213.6,+,2.8e-15,2490
ENST00000600625.5,-,2.8e-15,2493
ENST00000219771.7,+,2.8e-15,913
ENST00000520710.5,+,2.9e-15,2022
ENST00000324894.12,-,2.9e-15,2579
ENST00000591467.1,-,2.9e-15,545
ENST00000357066.7,-,3e-15,3391
ENST00000648446.1,+,3e-15,4724
ENST00000520220.6,+,3e-15,5808
ENST00000340926.7,-,3e-15,2128
ENST00000394479.3,+,3e-15,2398
ENST00000367996.5,-,3.1e-15,9773
ENST00000485004.5,+,3.2e-15,751
ENST00000621161.4,+,3.2e-15,8628
ENST00000626274.2,+,3.2e-15,752
ENST00000590121.2,+,3.2e-15,878
ENST00000547992.5,-,3.2e-15,3434
ENST00000234549.11,-,3.3e-15,992
ENST00000460809.5,+,3.3e-15,2905
ENST00000350997.11,+,3.3e-15,4525
ENST00000287022.9,+,3.3e-15,5575
ENST00000259021.8,-,3.3e-15,9644
ENST00000367162.7,+,3.4e-15,7874
ENST00000487045.6,-,3.5e-15,952
ENST00000571133.5,+,3.5e-15,5483
ENST00000229307.8,-,3.5e-15,5183
ENST00000643640.1,-,3.6e-15,561
ENST00000269856.4,+,3.6e-15,9593
ENST00000447102.8,+,3.6e-15,1769
ENST00000302243.11,+,3.6e-15,2997
ENST00000617318.4,+,3.6e-15,625
ENST00000299565.9,+,3.6e-15,3623
ENST00000639206.1,-,3.7e-15,367
ENST00000482979.5,+,3.7e-15,1449
ENST00000264896.7,-,3.7e-15,4792
ENST00000467138.1,+,3.7e-15,2766
ENST00000611659.4,-,3.8e-15,3149
ENST00000463920.5,+,3.8e-15,2347
ENST00000217173.6,-,3.8e-15,4631
ENST00000244571.4,+,3.9e-15,3854
ENST00000398970.5,+,3.9e-15,3675
ENST00000266646.2,-,3.9e-15,2429
